n,Mean,Standard Deviation,param
32,0.03520464897155762,0.04099561052303667,2
32,0.0008073647816975912,0.0001964942790879886,4
32,0.0004889965057373047,5.879665130649671e-05,8
32,0.00039458274841308594,5.0753486275293205e-05,16
64,0.0179293155670166,0.0023262757213610287,2
64,0.005971670150756836,0.0006201667802040364,4
64,0.003212610880533854,8.440971769586371e-05,8
64,0.003274679183959961,0.0004745897139171318,16
64,0.002911647160847982,0.00048545315096231286,32
